PX Code,Region Name,Postal Code
SK011,Helsinki,00100
SK011,Helsinki,00120
SK011,Helsinki,00130
SK011,Helsinki,00140
SK011,Helsinki,00150
SK011,Helsinki,00160
SK011,Helsinki,00170
SK011,Helsinki,00180
SK011,Helsinki,00200
SK011,Helsinki,00250
SK011,Helsinki,00260
SK011,Helsinki,00270
SK011,Helsinki,00280
SK011,Helsinki,00300
SK011,Helsinki,00320
SK011,Helsinki,00330
SK011,Helsinki,00340
SK011,Helsinki,00350
SK011,Helsinki,00360
SK011,Helsinki,00370
SK011,Helsinki,00380
SK011,Helsinki,00390
SK011,Helsinki,00400
SK011,Helsinki,00410
SK011,Helsinki,00420
SK011,Helsinki,00430
SK011,Helsinki,00440
SK011,Helsinki,00450
SK011,Helsinki,00460
SK011,Helsinki,00470
SK011,Helsinki,00480
SK011,Helsinki,00490
SK011,Helsinki,00500
SK011,Helsinki,00510
SK011,Helsinki,00520
SK011,Helsinki,00530
SK011,Helsinki,00540
SK011,Helsinki,00550
SK011,Helsinki,00560
SK011,Helsinki,00570
SK011,Helsinki,00580
SK011,Helsinki,00590
SK011,Helsinki,00600
SK011,Helsinki,00610
SK011,Helsinki,00620
SK011,Helsinki,00630
SK011,Helsinki,00640
SK011,Helsinki,00650
SK011,Helsinki,00660
SK011,Helsinki,00670
SK011,Helsinki,00680
SK011,Helsinki,00690
SK011,Helsinki,00700
SK011,Helsinki,00710
SK011,Helsinki,00720
SK011,Helsinki,00730
SK011,Helsinki,00740
SK011,Helsinki,00750
SK011,Helsinki,00760
SK011,Helsinki,00770
SK011,Helsinki,00780
SK011,Helsinki,00790
SK011,Helsinki,00800
SK011,Helsinki,00810
SK011,Helsinki,00820
SK011,Helsinki,00830
SK011,Helsinki,00840
SK011,Helsinki,00850
SK011,Helsinki,00860
SK011,Helsinki,00870
SK011,Helsinki,00880
SK011,Helsinki,00890
SK011,Helsinki,00900
SK011,Helsinki,00910
SK011,Helsinki,00920
SK011,Helsinki,00930
SK011,Helsinki,00940
SK011,Helsinki,00950
SK011,Helsinki,00960
SK011,Helsinki,00970
SK011,Helsinki,00980
SK011,Helsinki,00990
HVA90,City of Helsinki,00100
HVA90,City of Helsinki,00120
HVA90,City of Helsinki,00130
HVA90,City of Helsinki,00140
HVA90,City of Helsinki,00150
HVA90,City of Helsinki,00160
HVA90,City of Helsinki,00170
HVA90,City of Helsinki,00180
HVA90,City of Helsinki,00200
HVA90,City of Helsinki,00250
HVA90,City of Helsinki,00260
HVA90,City of Helsinki,00270
HVA90,City of Helsinki,00280
HVA90,City of Helsinki,00300
HVA90,City of Helsinki,00320
HVA90,City of Helsinki,00330
HVA90,City of Helsinki,00340
HVA90,City of Helsinki,00350
HVA90,City of Helsinki,00360
HVA90,City of Helsinki,00370
HVA90,City of Helsinki,00380
HVA90,City of Helsinki,00390
HVA90,City of Helsinki,00400
HVA90,City of Helsinki,00410
HVA90,City of Helsinki,00420
HVA90,City of Helsinki,00430
HVA90,City of Helsinki,00440
HVA90,City of Helsinki,00450
HVA90,City of Helsinki,00460
HVA90,City of Helsinki,00470
HVA90,City of Helsinki,00480
HVA90,City of Helsinki,00490
HVA90,City of Helsinki,00500
HVA90,City of Helsinki,00510
HVA90,City of Helsinki,00520
HVA90,City of Helsinki,00530
HVA90,City of Helsinki,00540
HVA90,City of Helsinki,00550
HVA90,City of Helsinki,00560
HVA90,City of Helsinki,00570
HVA90,City of Helsinki,00580
HVA90,City of Helsinki,00590
HVA90,City of Helsinki,00600
HVA90,City of Helsinki,00610
HVA90,City of Helsinki,00620
HVA90,City of Helsinki,00630
HVA90,City of Helsinki,00640
HVA90,City of Helsinki,00650
HVA90,City of Helsinki,00660
HVA90,City of Helsinki,00670
HVA90,City of Helsinki,00680
HVA90,City of Helsinki,00690
HVA90,City of Helsinki,00700
HVA90,City of Helsinki,00710
HVA90,City of Helsinki,00720
HVA90,City of Helsinki,00730
HVA90,City of Helsinki,00740
HVA90,City of Helsinki,00750
HVA90,City of Helsinki,00760
HVA90,City of Helsinki,00770
HVA90,City of Helsinki,00780
HVA90,City of Helsinki,00790
HVA90,City of Helsinki,00800
HVA90,City of Helsinki,00810
HVA90,City of Helsinki,00820
HVA90,City of Helsinki,00830
HVA90,City of Helsinki,00840
HVA90,City of Helsinki,00850
HVA90,City of Helsinki,00860
HVA90,City of Helsinki,00870
HVA90,City of Helsinki,00880
HVA90,City of Helsinki,00890
HVA90,City of Helsinki,00900
HVA90,City of Helsinki,00910
HVA90,City of Helsinki,00920
HVA90,City of Helsinki,00930
HVA90,City of Helsinki,00940
HVA90,City of Helsinki,00950
HVA90,City of Helsinki,00960
HVA90,City of Helsinki,00970
HVA90,City of Helsinki,00980
HVA90,City of Helsinki,00990
MK01,Uusimaa,00100
MK01,Uusimaa,00120
MK01,Uusimaa,00130
MK01,Uusimaa,00140
MK01,Uusimaa,00150
MK01,Uusimaa,00160
MK01,Uusimaa,00170
MK01,Uusimaa,00180
MK01,Uusimaa,00200
MK01,Uusimaa,00250
MK01,Uusimaa,00260
MK01,Uusimaa,00270
MK01,Uusimaa,00280
MK01,Uusimaa,00300
MK01,Uusimaa,00320
MK01,Uusimaa,00330
MK01,Uusimaa,00340
MK01,Uusimaa,00350
MK01,Uusimaa,00360
MK01,Uusimaa,00370
MK01,Uusimaa,00380
MK01,Uusimaa,00390
MK01,Uusimaa,00400
MK01,Uusimaa,00410
MK01,Uusimaa,00420
MK01,Uusimaa,00430
MK01,Uusimaa,00440
MK01,Uusimaa,00450
MK01,Uusimaa,00460
MK01,Uusimaa,00470
MK01,Uusimaa,00480
MK01,Uusimaa,00490
MK01,Uusimaa,00500
MK01,Uusimaa,00510
MK01,Uusimaa,00520
MK01,Uusimaa,00530
MK01,Uusimaa,00540
MK01,Uusimaa,00550
MK01,Uusimaa,00560
MK01,Uusimaa,00570
MK01,Uusimaa,00580
MK01,Uusimaa,00590
MK01,Uusimaa,00600
MK01,Uusimaa,00610
MK01,Uusimaa,00620
MK01,Uusimaa,00630
MK01,Uusimaa,00640
MK01,Uusimaa,00650
MK01,Uusimaa,00660
MK01,Uusimaa,00670
MK01,Uusimaa,00680
MK01,Uusimaa,00690
MK01,Uusimaa,00700
MK01,Uusimaa,00710
MK01,Uusimaa,00720
MK01,Uusimaa,00730
MK01,Uusimaa,00740
MK01,Uusimaa,00750
MK01,Uusimaa,00760
MK01,Uusimaa,00770
MK01,Uusimaa,00780
MK01,Uusimaa,00790
MK01,Uusimaa,00800
MK01,Uusimaa,00810
MK01,Uusimaa,00820
MK01,Uusimaa,00830
MK01,Uusimaa,00840
MK01,Uusimaa,00850
MK01,Uusimaa,00860
MK01,Uusimaa,00870
MK01,Uusimaa,00880
MK01,Uusimaa,00890
MK01,Uusimaa,00900
MK01,Uusimaa,00910
MK01,Uusimaa,00920
MK01,Uusimaa,00930
MK01,Uusimaa,00940
MK01,Uusimaa,00950
MK01,Uusimaa,00960
MK01,Uusimaa,00970
MK01,Uusimaa,00980
MK01,Uusimaa,00990
FI1B,Helsinki-Uusimaa,00100
FI1B,Helsinki-Uusimaa,00120
FI1B,Helsinki-Uusimaa,00130
FI1B,Helsinki-Uusimaa,00140
FI1B,Helsinki-Uusimaa,00150
FI1B,Helsinki-Uusimaa,00160
FI1B,Helsinki-Uusimaa,00170
FI1B,Helsinki-Uusimaa,00180
FI1B,Helsinki-Uusimaa,00200
FI1B,Helsinki-Uusimaa,00250
FI1B,Helsinki-Uusimaa,00260
FI1B,Helsinki-Uusimaa,00270
FI1B,Helsinki-Uusimaa,00280
FI1B,Helsinki-Uusimaa,00300
FI1B,Helsinki-Uusimaa,00320
FI1B,Helsinki-Uusimaa,00330
FI1B,Helsinki-Uusimaa,00340
FI1B,Helsinki-Uusimaa,00350
FI1B,Helsinki-Uusimaa,00360
FI1B,Helsinki-Uusimaa,00370
FI1B,Helsinki-Uusimaa,00380
FI1B,Helsinki-Uusimaa,00390
FI1B,Helsinki-Uusimaa,00400
FI1B,Helsinki-Uusimaa,00410
FI1B,Helsinki-Uusimaa,00420
FI1B,Helsinki-Uusimaa,00430
FI1B,Helsinki-Uusimaa,00440
FI1B,Helsinki-Uusimaa,00450
FI1B,Helsinki-Uusimaa,00460
FI1B,Helsinki-Uusimaa,00470
FI1B,Helsinki-Uusimaa,00480
FI1B,Helsinki-Uusimaa,00490
FI1B,Helsinki-Uusimaa,00500
FI1B,Helsinki-Uusimaa,00510
FI1B,Helsinki-Uusimaa,00520
FI1B,Helsinki-Uusimaa,00530
FI1B,Helsinki-Uusimaa,00540
FI1B,Helsinki-Uusimaa,00550
FI1B,Helsinki-Uusimaa,00560
FI1B,Helsinki-Uusimaa,00570
FI1B,Helsinki-Uusimaa,00580
FI1B,Helsinki-Uusimaa,00590
FI1B,Helsinki-Uusimaa,00600
FI1B,Helsinki-Uusimaa,00610
FI1B,Helsinki-Uusimaa,00620
FI1B,Helsinki-Uusimaa,00630
FI1B,Helsinki-Uusimaa,00640
FI1B,Helsinki-Uusimaa,00650
FI1B,Helsinki-Uusimaa,00660
FI1B,Helsinki-Uusimaa,00670
FI1B,Helsinki-Uusimaa,00680
FI1B,Helsinki-Uusimaa,00690
FI1B,Helsinki-Uusimaa,00700
FI1B,Helsinki-Uusimaa,00710
FI1B,Helsinki-Uusimaa,00720
FI1B,Helsinki-Uusimaa,00730
FI1B,Helsinki-Uusimaa,00740
FI1B,Helsinki-Uusimaa,00750
FI1B,Helsinki-Uusimaa,00760
FI1B,Helsinki-Uusimaa,00770
FI1B,Helsinki-Uusimaa,00780
FI1B,Helsinki-Uusimaa,00790
FI1B,Helsinki-Uusimaa,00800
FI1B,Helsinki-Uusimaa,00810
FI1B,Helsinki-Uusimaa,00820
FI1B,Helsinki-Uusimaa,00830
FI1B,Helsinki-Uusimaa,00840
FI1B,Helsinki-Uusimaa,00850
FI1B,Helsinki-Uusimaa,00860
FI1B,Helsinki-Uusimaa,00870
FI1B,Helsinki-Uusimaa,00880
FI1B,Helsinki-Uusimaa,00890
FI1B,Helsinki-Uusimaa,00900
FI1B,Helsinki-Uusimaa,00910
FI1B,Helsinki-Uusimaa,00920
FI1B,Helsinki-Uusimaa,00930
FI1B,Helsinki-Uusimaa,00940
FI1B,Helsinki-Uusimaa,00950
FI1B,Helsinki-Uusimaa,00960
FI1B,Helsinki-Uusimaa,00970
FI1B,Helsinki-Uusimaa,00980
FI1B,Helsinki-Uusimaa,00990
FI1B1,Helsinki-Uusimaa,00100
FI1B1,Helsinki-Uusimaa,00120
FI1B1,Helsinki-Uusimaa,00130
FI1B1,Helsinki-Uusimaa,00140
FI1B1,Helsinki-Uusimaa,00150
FI1B1,Helsinki-Uusimaa,00160
FI1B1,Helsinki-Uusimaa,00170
FI1B1,Helsinki-Uusimaa,00180
FI1B1,Helsinki-Uusimaa,00200
FI1B1,Helsinki-Uusimaa,00250
FI1B1,Helsinki-Uusimaa,00260
FI1B1,Helsinki-Uusimaa,00270
FI1B1,Helsinki-Uusimaa,00280
FI1B1,Helsinki-Uusimaa,00300
FI1B1,Helsinki-Uusimaa,00320
FI1B1,Helsinki-Uusimaa,00330
FI1B1,Helsinki-Uusimaa,00340
FI1B1,Helsinki-Uusimaa,00350
FI1B1,Helsinki-Uusimaa,00360
FI1B1,Helsinki-Uusimaa,00370
FI1B1,Helsinki-Uusimaa,00380
FI1B1,Helsinki-Uusimaa,00390
FI1B1,Helsinki-Uusimaa,00400
FI1B1,Helsinki-Uusimaa,00410
FI1B1,Helsinki-Uusimaa,00420
FI1B1,Helsinki-Uusimaa,00430
FI1B1,Helsinki-Uusimaa,00440
FI1B1,Helsinki-Uusimaa,00450
FI1B1,Helsinki-Uusimaa,00460
FI1B1,Helsinki-Uusimaa,00470
